Azimuth (degrees), Elevation (degrees), x (milliGauss), y (milliGauss), z (milliGauss)
161.381, -76.2005, -561, 189, -769.5
161.2, -75.8843, -564, 192, -763.5
161.34, -75.8319, -573, 193.5, -766.5
161.473, -76.2284, -559.5, 187.5, -765
161.29, -76.0952, -562.5, 190.5, -769.5
161.565, -76.4332, -562.5, 187.5, -777
161.701, -76.1746, -571.5, 189, -768
161.979, -76.6976, -562.5, 183, -774
161.154, -76.0683, -562.5, 192, -774
161.11, -75.9638, -565.5, 193.5, -774
161.656, -76.4834, -565.5, 187.5, -780
161.934, -76.6226, -561, 183, -769.5
162.482, -76.8411, -565.5, 178.5, -763.5
161.702, -76.2802, -567, 187.5, -768
161.883, -76.3858, -568.5, 186, -768
160.97, -75.8849, -561, 193.5, -769.5
160.737, -75.7799, -558, 195, -769.5
161.107, -75.9374, -561, 192, -766.5
161.565, -76.3858, -558, 186, -768
161.931, -76.5169, -565.5, 184.5, -769.5
162.072, -76.6783, -561, 181.5, -766.5
161.107, -76.1713, -561, 192, -780
162.072, -76.852, -561, 181.5, -777
162.027, -76.6531, -559.5, 181.5, -765
163.912, -78.196, -556.5, 160.5, -768
160.901, -75.0544, -580.5, 201, -753
160.907, -74.8325, -585, 202.5, -747
162.488, -75.8542, -589.5, 186, -738
165.069, -77.294, -607.5, 162, -718.5
167.485, -78.0793, -642, 142.5, -675
166.968, -76.4688, -667.5, 154.5, -642
166.369, -73.3979, -699, 169.5, -568.5
168.111, -73.656, -712.5, 150, -511.5
170.226, -73.4532, -714, 123, -414
172.492, -74.2914, -717, 94.5, -336
173.487, -73.9741, -709.5, 81, -282
173.537, -72.5077, -688.5, 78, -247.5
173.548, -70.622, -676.5, 76.5, -217.5
172.508, -66.2796, -661.5, 87, -198
172.138, -63.9789, -673.5, 93, -190.5
174.85, -78.1402, -699, 63, -300
174.719, -79.4826, -714, 66, -355.5
177.089, -84.8251, -708, 36, -397.5
178.656, -87.8573, -703.5, 16.5, -441
174.437, -83.2815, -693, 67.5, -573
168.253, -78.8367, -642, 133.5, -676.5
169.509, -80.9901, -607.5, 112.5, -709.5
173.834, -84.9438, -597, 64.5, -729
169.657, -81.3525, -600, 109.5, -720
170.175, -81.3916, -615, 106.5, -703.5
165.657, -78.4449, -592.5, 151.5, -741
153.573, -72.6768, -498, 247.5, -793.5
145.674, -74.9884, -340.5, 232.5, -867
120.641, -75.1469, -139.5, 235.5, -888
104.676, -73.5231, -66, 252, -852
89.3299, -72.6698, 3, 256.5, -822
76.3013, -73.6105, 58.5, 240, -816
60.9768, -72.8733, 129, 232.5, -754.5
47.5368, -69.0959, 226.5, 247.5, -648
37.4468, -62.8389, 307.5, 235.5, -459
34.4749, -64.0372, 325.5, 223.5, -459
34.9368, -63.4349, 313.5, 219, -438
33.8759, -62.6952, 319.5, 214.5, -415.5
31.9335, -64.584, 322.5, 201, -423
34.2611, -66.8014, 310.5, 211.5, -493.5
34.9158, -68.7723, 303, 211.5, -544.5
38.3201, -68.4905, 279, 220.5, -559.5
41.9335, -68.3712, 265.5, 238.5, -601.5
41.9152, -68.1485, 264, 237, -591
46.0544, -67.9093, 240, 249, -613.5
45.845, -67.4391, 250.5, 258, -621
40.7321, -74.976, 216, 186, -693
38.047, -77.0322, 207, 162, -703.5
43.0979, -74.2018, 210, 196.5, -694.5
40.2002, -75.1317, 213, 180, -678
43.7382, -77.3609, 174, 166.5, -742.5
52.4037, -79.1754, 115.5, 150, -784.5
81.9509, -80.0442, 21, 148.5, -846
137.413, -78.0967, -204, 187.5, -889.5
147.14, -76.9407, -313.5, 202.5, -873
148.134, -74.3318, -388.5, 241.5, -861
146.821, -75.149, -351, 229.5, -865.5
148.392, -77.7594, -312, 192, -885
147.87, -77.5741, -310.5, 195, -885
149.676, -78.0917, -318, 186, -882
160.21, -81.6929, -358.5, 129, -883.5
178.13, -89.1987, -367.5, 12, -858
-165.796, -96.2387, -361.5, -91.5, -837
-151.243, -104.938, -369, -202.5, -759
-144.773, -110.287, -367.5, -259.5, -702
-140.1, -115.945, -357, -298.5, -613.5
-137.35, -121.661, -361.5, -333, -540
-133.771, -131.291, -342, -357, -406.5
-136.229, -136.548, -357, -342, -324
-139.014, -143.303, -366, -318, -237
-140.872, -144.173, -378, -307.5, -222
-140.807, -142.106, -390, -318, -247.5
-140.151, -138.945, -390, -325.5, -283.5
-140.481, -138.738, -385.5, -318, -279
-134.387, -128.006, -346.5, -354, -453
-151.294, -105.342, -378, -207, -754.5
180, -90, -403.5, 0, -846
148.861, -72.7102, -432, 261, -838.5
137.656, -63.6122, -423, 385.5, -777
125.292, -54.7057, -352.5, 498, -703.5
118.781, -47.9672, -309, 562.5, -624
115.65, -41.8616, -291, 606, -543
116.839, -36.4499, -316.5, 625.5, -462
116.183, -29.2737, -310.5, 631.5, -354
116.731, -24.014, -312, 619.5, -276
119.091, -22.5893, -333, 598.5, -249
119.994, -20.2853, -342, 592.5, -219
119.994, -20.0297, -342, 592.5, -216
121.566, -20.054, -358.5, 583.5, -213
122.071, -21.7509, -367.5, 586.5, -234
121.877, -25.6456, -375, 603, -289.5
123.623, -31.1544, -396, 595.5, -360
123.524, -39.5226, -397.5, 600, -495
124.939, -48.044, -382.5, 547.5, -609
126.98, -54.9349, -375, 498, -709.5
143.591, -72.7491, -360, 265.5, -855
152.488, -77.8378, -360, 187.5, -870
157.657, -80.5536, -354, 145.5, -874.5
161.278, -82.1828, -358.5, 121.5, -885
164.585, -83.3766, -364.5, 100.5, -865.5
163.804, -83.0709, -361.5, 105, -864
162.633, -82.6104, -364.5, 114, -879
161.361, -81.6908, -378, 127.5, -873
162.341, -81.6908, -400.5, 127.5, -873
162.959, -82.0928, -391.5, 120, -864
163.731, -82.5686, -385.5, 112.5, -862.5
172.655, -86.721, -384, 49.5, -864
173.856, -86.8484, -432, 46.5, -844.5
178.297, -89.1845, -403.5, 12, -843
-177.816, -90.911, -354, -13.5, -849
